NumberOfInstances,model
10214,CarSequencing.essence
7414,VesselLoading.essence
7206,FLECC.essence
5841,Transshipment.essence
3169,TailAssignment.essence
3113,EFPA.essence
2236,CoveringArray.essence
1206,AbnormalMagicHexagons.essence
1039,SocialGolfers.essence
733,BIBD.essence
457,BACP.essence
319,GolombRulerDecision.essence
310,BinPacking.essence
243,SONET.essence
231,RamseyNumbers.essence
155,Knapsack.essence
150,ProgPartyPartition.essence
150,ProgPartyFunction.essence
133,SchursLemma.essence
106,CVRP.essence
95,ProgPartyFunctionDecision.essence
90,VanDerWaerden.essence
80,LangfordCombinedDirect.essence
80,LangfordDirect.essence
80,LangfordCombinedPositional.essence
80,LangfordPositional.essence
77,TSP.essence
56,MinimumEnergyBroadcast.essence
30,NumberPartitioningFull.essence
23,OPD.essence
19,NumberPartitioningSimple.essence
19,MagicSquares.essence
19,SportsTournamentScheduling.essence
18,NFractionsPuzzle.essence
17,GracefulGears.essence
17,GracefulHelms.essence
17,ArmiesOfQueens.essence
17,GracefulWheelGraphs.essence
17,MaximumDensityStillLife.essence
17,GracefulDoubleWheelGraphs.essence
13,NQueens.essence
11,SteelMill.essence
10,AllIntervalSeries.essence
9,DiamondFree.essence
7,GolombRuler.essence
7,TemplateDesign.essence
6,WaterBuckets.essence
6,MagicHexagon.essence
2,Steiner.essence
2,Crossfigures.essence
2,DistributionWagnerWhitin.essence
1,RackConfiguration.essence
1,TankAllocation.essence
1,WarehouseLocation.essence
1,BusDriverScheduling.essence
1,Lam.essence
0,MaxClique.essence
0,Layout.essence
0,LABS.essence
0,Vellino.essence
0,RCPSP.essence
0,WordDesign.essence
0,Rehearsal.essence
0,QG5.essence
0,PerfectSquarePlacement.essence
0,SandwichSudoku.essence
0,QG4.essence
0,QG3.essence
0,TrafficLights.essence
0,QG6.essence
0,QG7.essence
